sha;hex-8;package;category;summary;description;files;num. files;num. lines changed
0d522663b2d80106f69bd8e3bb88821ac1f6710a;0d522663;library;gps;SBF: fix the PVTMode to support PPK (and baseline) units;SBF: fix the PVTMode to support PPK (and baseline) units;['libraries/AP_GPS/AP_GPS_SBF.h'];1;2
903ef4d065129f54354b06dc7cce72fafe4b231f;903ef4d0;library;smartrtl;update example to new API and fix object copy;"update example to new API and fix object copy

ahrs should be a reference to DummyVehicle::ahrs, otherwise it will
act on a different object.

This also corrects the member initialization order: only pass a copy
or reference of an object to a constructor if it has already been
initialized.";['libraries/AP_SmartRTL/examples/SmartRTL_test/SmartRTL_test.cpp'];1;27
eed3c83079e3c18ddd9f9a1e5e80c2ae1de6d4d1;eed3c830;sub;sub;use static method to construct AP_Arming_Sub;"use static method to construct AP_Arming_Sub

This also fix a bug of calling AP_Param::setup_object_defaults() on the
parent.";['ArduSub/AP_Arming_Sub.h', 'ArduSub/Sub.h'];2;20
eb9dd8c5a28441a4eb15066b39b35b701942535b;eb9dd8c5;library;landing;Fix an error when computing the course offset for deepstall;Fix an error when computing the course offset for deepstall;['libraries/AP_Landing/AP_Landing_Deepstall.cpp'];1;2
ed2b8d3476a11c870939e946011f0e030eddc2e7;ed2b8d34;gcs;gcs_mavlink;refactor send_autopilot_verison() to use AP_FWVersion;"refactor send_autopilot_verison() to use AP_FWVersion

Make the method use the getter directly to get a reference of
AP_FWVersion and work out everything that needs to be sent. This allows
us to remove ifdefs and replace with runtime if/else.

Note that there's also a bug fix: we were not setting flight_custom_version
to zero in case GIT_VERSION wasn't defined.";['libraries/GCS_MAVLink/GCS_Common.cpp', 'libraries/GCS_MAVLink/GCS.h'];2;70
b682f3f6d9109431f35b66977bdfd1b7a3588ede;b682f3f6;plane;plane;fix parameter units;fix parameter units;['ArduPlane/quadplane.cpp'];1;4
44a436642b3c6f84ce4e8bd430d46d2a444c11f0;44a43664;copter;copter;complete rename to SmartRTL;"complete rename to SmartRTL

Also fix parameter description for CH7_OPT";['ArduCopter/defines.h', 'ArduCopter/system.cpp', 'ArduCopter/control_safe_rtl.cpp', 'ArduCopter/Copter.cpp', 'ArduCopter/Copter.h', 'ArduCopter/ArduCopter.cpp', 'ArduCopter/motors.cpp', 'ArduCopter/switches.cpp', 'ArduCopter/Parameters.cpp'];9;64
d3a18e803e41ff9333f7bcfbf8c6aea4e96e64c1;d3a18e80;library;gps;Fix MAVLink message field SYSTEM_TIME.time_unix_usec when GPS_AUTO_SWITCH = blend;"Fix MAVLink message field SYSTEM_TIME.time_unix_usec when GPS_AUTO_SWITCH = blend

The mavlink message field SYSTEM_TIME.time_unix_usec works fine with GPS_AUTO_SWITCH == 0 (no switch) or ==1 (usebest)
But when GPS_AUTO_SWITCH == 2 (blend) then state[GPS_BLENDED_INSTANCE].last_gps_time_ms gets initialized with 0 and never rewritten.

The consequence: SYSTEM_TIME.time_unix_usec gets stuck at zero.
The solution: Do not reset state[GPS_BLENDED_INSTANCE].last_gps_time_ms because it would overwrite the correct value already set on line 1149";['libraries/AP_GPS/AP_GPS.cpp'];1;1
58dec08b2909d69a1ab4636ec62e92e7eb81df14;58dec08b;gcs;gcs_mavlink;fix non static perf counter;"fix non static perf counter

Commit b9877e0d3850223ae6c2df3a68c3d888ca5be628
(GCS_MAVLink: make per channel perf counter non-static) made the
perf counters to be available per instance but missed the fact that
the perf infra doesn't copy the string.

Fix this by maintaining a the string inside the object.";['libraries/GCS_MAVLink/GCS_Common.cpp', 'libraries/GCS_MAVLink/GCS.h'];2;12
939ca36c331e0438f8a9ed4e2dda0412bd218f1e;939ca36c;library;safertl;simplify and prune regularly;"simplify and prune regularly

remove overlapping prunable loops (keeps longest loop)
replace use of Bitmask calls with flag
restart_pruning protection against overflow
remove argument to reset_simplification and reset_pruning
fix setting _simplify.path_points_completed
fix add_loop - compare length of new loop to sum of all existing loops that would be
replaced
add program error protection - an overflow of the path_points_count index is dangerous so although it should never happen, if it does, deactivate
reduce the simplify and prune path-points-completed numbers as points are popped off the path so that if the user aborts the SafeRTL simplification and pruning process any new points added aftwards";['libraries/AP_SafeRTL/AP_SafeRTL.cpp', 'libraries/AP_SafeRTL/AP_SafeRTL.h'];2;523
1a9bccaaa78de1d9a172a802b1fb6f846902c954;1a9bccaa;library;common;fix Bitmask out-of-range values;fix Bitmask out-of-range values;['libraries/AP_Common/Bitmask.h'];1;25
226eeeb73845c2554b76dd851cefa932ca99051e;226eeeb7;library;hal_linux;RCOutput_Sysfs: fix deleting _pwm_channels array;"RCOutput_Sysfs: fix deleting _pwm_channels array

delete [] should be called rather than delete.";['libraries/AP_HAL_Linux/RCOutput_Sysfs.cpp'];1;2
048dfee68a694d31f40d5ee7cb6d2b80841df5e5;048dfee6;library;gps;make SBF driver more robust;"make SBF driver more robust

this fixes a crash bug in the SBF GPS driver where a badly formed packet
could cause crc16_ccitt to reference invalid memory";['libraries/AP_GPS/AP_GPS_SBF.cpp'];1;18
cb9c6265774ee547eed44019c5bf83ae27e2f432;cb9c6265;library;adsb;fix getting a copy rather than a reference;"fix getting a copy rather than a reference

These have been caught by making constructors private and enforcing
calling a create() method to create objects are supposed to be
statically allocated only.

The Vector3f reference was just nearby and was a change copied from
similar PR from Peter Barker (#6873).";['libraries/AP_ADSB/AP_ADSB.cpp'];1;8
a895d69b42bcf4cbb372e34a3d4b36d7805baa03;a895d69b;gcs;gcs_mavlink;Correct a bug in the FOR_EACH_ACTIVE_CHANNEL macro;Correct a bug in the FOR_EACH_ACTIVE_CHANNEL macro;['libraries/GCS_MAVLink/GCS.cpp'];1;4
a93ecb8b5adb74aa0b0825647daa1307d1401c1b;a93ecb8b;sub;sub;Fix Notify led to reflect when leak failsafe has been resolved.;Fix Notify led to reflect when leak failsafe has been resolved.;['ArduSub/failsafe.cpp'];1;4
1a207c919b4ef4580290a06d8d61e383ca9c63e3;1a207c91;plane;plane;fixed bug in TRIM_AUTO;"fixed bug in TRIM_AUTO

fixed trim for differential spoilers";['ArduPlane/radio.cpp'];1;2
0155434057e4bbc5c30bf52baebc4e9e78ae6110;01554340;library;rc_channel;fixed bug in manual with TRIM == MIN;"fixed bug in manual with TRIM == MIN

This fixes the bug described here:

https://discuss.ardupilot.org/t/arduplane-reverse-thrust-setup/18324/5

which otherwise would prevent output with TRIM == MIN or TRIM == MAX";['libraries/RC_Channel/RC_Channel.cpp'];1;8
d6845a911a9bbef77fcd834356bd986c361b1e29;d6845a91;library;ahrs;fix get_relative_position_NE_home calcalation;fix get_relative_position_NE_home calcalation;['libraries/AP_AHRS/AP_AHRS_NavEKF.cpp'];1;8
a035950a227992488cc355014d6bd9e1367c3ca1;a035950a;rover;rover;minor format fix;minor format fix;['APMrover2/commands_logic.cpp', 'APMrover2/AP_MotorsUGV.cpp'];2;4
e2d4182c757351aebe1f14548f9194ae72d844ed;e2d4182c;rover;rover;fix parameter conversion;fix parameter conversion;['APMrover2/Parameters.cpp'];1;1
c9927e6af606d57a2464763d37a2d4d3fcca9146;c9927e6a;rover;rover;bug fix to steering mode top speed;"bug fix to steering mode top speed

Also non-functional change to calc_throttle to make call to calc_speed_nudge consistent";['APMrover2/mode.cpp', 'APMrover2/mode_steering.cpp'];2;4
3642ecd9ef90987ae5ef18575098fe83d93e4b24;3642ecd9;library;compass;fix errors in addition of alternate LIS3MDL I2C address;"fix errors in addition of alternate LIS3MDL I2C address

testing shows ROTATION_YAW_90 is correct for mRo Neo M8N GPS/compass";['libraries/AP_Compass/AP_Compass.cpp', 'libraries/AP_Compass/AP_Compass_LIS3MDL.h'];2;19
164096225b89db08337c9cc67bf253409d301a7b;16409622;library;steercontroller;fix get_steering_out_rate bug when reversing;fix get_steering_out_rate bug when reversing;['libraries/APM_Control/AP_SteerController.cpp'];1;2
946a0a8e543ca16d2c2b6c58b57d401e00546397;946a0a8e;rover;rover;guided mode refactoring;"guided mode refactoring

add set-desired methods
add get_distance_to_destination
fix to one interation with no update to motors
slow down for turns";['APMrover2/mode.h', 'APMrover2/mode_guided.cpp'];2;164
efe70c8d3a1725ab17162563a2302b7b54010666;efe70c8d;library;navekf3;Fix possible compass nullptr dereference;Fix possible compass nullptr dereference;['libraries/AP_NavEKF3/AP_NavEKF3_Outputs.cpp'];1;3
dffa3d3b40bf2a58089ec997bb642c401c8670b8;dffa3d3b;library;navekf2;Fix possible compass nullptr dereference;Fix possible compass nullptr dereference;['libraries/AP_NavEKF2/AP_NavEKF2_Outputs.cpp'];1;4
ee6969939b16fed7adb9f3c9239e43f7063c69b7;ee696993;sub;sub;fix underflow in scheduler;"fix underflow in scheduler

4eee3b1317b954c7c1df16ba2d264e2af695b77d fixed this in Copter";['ArduSub/ArduSub.cpp'];1;2
f7a00b911e1d027d0e4999ce39079189300cac97;f7a00b91;copter;copter;minor format fix for motors.cpp;minor format fix for motors.cpp;['ArduCopter/motors.cpp'];1;6
db7c8439c6262c38c401c6048ac6fbd593e66f57;db7c8439;library;navekf3;Fix bug in wheel odometry timestamp correction;Fix bug in wheel odometry timestamp correction;['libraries/AP_NavEKF3/AP_NavEKF3_Measurements.cpp'];1;3
96d55e0dbeefc0667695bd99c79de1b723d1ba3d;96d55e0d;rover;rover;fix wheel encoder parameter names;"fix wheel encoder parameter names

extra underscore removed";['APMrover2/Parameters.cpp'];1;4
5b605d6e1c6797aab439d207a3ba9637ca12c5c1;5b605d6e;library;notify;Fix for Oreo LED gyro init inidication;"Fix for Oreo LED gyro init inidication

If parameter INS_GYRO_CAL is disabled, usually because operator is
arming on a moving vehicle such as a boat, the Oreo LEDs would wait
indefinitely for a gyro calibration that will never happen.  This
removes that dependency.  The LEDs will strobe blue only when gyros are
actually initializing. Not before.  Consequently, this greatly
simiplifies that portion of the code.";['libraries/AP_Notify/OreoLED_PX4.cpp'];1;33
08a3f55c90c92a5ab52029f4fcaa2528ec3626f8;08a3f55c;library;navekf3;Fix error in scaling of observation error;Fix error in scaling of observation error;['libraries/AP_NavEKF3/AP_NavEKF3_PosVelFusion.cpp'];1;6
9123b6034e50aa6ea48406270aa65b7b2721f97a;9123b603;library;srv_channel;update_aux_servo_function first checks function is valid;"update_aux_servo_function first checks function is valid

This resolves a bug in which the board could become unresponsive if an invalid function is selected";['libraries/SRV_Channel/SRV_Channel_aux.cpp'];1;11
3d13d984104f0c62cb95aa47c3e20c33d5111ca8;3d13d984;rover;rover;steering mode direction fix when reversing;"steering mode direction fix when reversing

this corrects the rotation direction when moving backwards in steering mode so that it's consistent with manual mode";['APMrover2/mode_steering.cpp'];1;19
2d0bce18a81ee152883369e4186385d343f4de84;2d0bce18;library;barometer;rename all local variable with prefix;"rename all local variable with prefix

fix last missing spaces";['libraries/AP_Baro/AP_Baro_SITL.cpp', 'libraries/AP_Baro/AP_Baro_SITL.h'];2;54
35ac86ff8d54fbe605a6e8b1a52468727ee59f51;35ac86ff;library;barometer;fix some style and const correctness;fix some style and const correctness;['libraries/AP_Baro/AP_Baro_SITL.cpp', 'libraries/AP_Baro/AP_Baro_SITL.h'];2;42
0e895f5c7416c0c5a05ddda9c0db28774b72f224;0e895f5c;library;barometer;fix instance shadowing;fix instance shadowing;['libraries/AP_Baro/AP_Baro_SITL.cpp', 'libraries/AP_Baro/AP_Baro_SITL.h'];2;6
22578bd7f0058413aee874fc7484c41d1a557c8b;22578bd7;sub;sub;fix absolute pressure sensor present flag;fix absolute pressure sensor present flag;['ArduSub/GCS_Mavlink.cpp'];1;7
efa59d47f2c09d2f14900dd14e93ae5d3faad77a;efa59d47;rover;rover;fix FS_THR_VALUE min range;fix FS_THR_VALUE min range;['APMrover2/Parameters.cpp'];1;2
2e451eb2bcdbc3d3e5e835aef3ca9e2db4e54989;2e451eb2;rover;rover;fix motor test for pilot passthrough of steering;fix motor test for pilot passthrough of steering;['APMrover2/motor_test.cpp'];1;2
e5b746c7dd5560b0a5c5b8efee4a61e89339ae4a;e5b746c7;library;motorsugv;fix motor test sequence;"fix motor test sequence

motor test sequence starts from 1";['APMrover2/AP_MotorsUGV.h', 'APMrover2/AP_MotorsUGV.cpp'];2;28
ebeb0923cbf5ccbaff090b7bc8caa16b3f9232d7;ebeb0923;rover;rover;motor test gets improved failure explanations;"motor test gets improved failure explanations

Also fix pass through for steering channel";['APMrover2/Rover.h', 'APMrover2/motor_test.cpp'];2;54
202b40562fc40893e9144749c34d2e5cda57f75f;202b4056;library;landing;Fix bad deepstall parameter group;Fix bad deepstall parameter group;['libraries/AP_Landing/AP_Landing_Deepstall.cpp'];1;8
