,"Does the bug require concurrent events? (Y, N)",,"Input type (N/A, CLI, GCS, RC, MI)",,"Configuration (N/A, S, D)",,"When does it occur? (I, R, N, F, T)",,"Is state corrupted? (B, C, L)",,"Environmental factors? (Y, N)",,Hardware needed?,,Detectable (default)
hex-8,,Comment,,Comment,,Comment,,Comment,,Comment,,Comment,,Comment,
1a207c91,N,,RC,,N/A,,N,,B,doesn't fly straight,N,,N,,Y
e2d4182c,N,,N/A,,S,,I,,B,"This fix has to do with converting ""old "" parameters to ""new"" parameters.  I can't tell what ""old"" and ""new"" refer to here.  Something to do with, ""old parameter values to new
  parameter names.""",N,,N,,N
c9927e6a,N,,RC,,N/A,,N,,B,incorrect speed,N,,N,,Y
3d13d984,N,,RC,,N/A,,N,,B,,N,,N,,Y
2e451eb2,N,,GCS | Mission,,N/A,,I,,B,,N,,N,,Y
ebeb0923,N,,GCS | Mission | CLI,,N/A,,I | N,,B,,N,,N,,Y
ba866419,N,,RC,,N/A,,F,,B,,N,,N,,N
32dc59ba,N,,RC,,S,skid steering,N,,B,,N,,N,,N
f29951c2,N,,GCS | Mission | RC,,N/A,,T,,B,wrong acc. maximum,N,,N,,Y
92cdb541,Y,,GCS | RC,,N/A,,N,,B,,N,,N,,N
87c076da,N,,N/A,,N/A,,N,,B,incorrectly sends message to GCS,Y,could manifest in failure if GCS relies on correctness of landing messages,N,,N
010665f9,N,,GCS | Mission | RC,,N/A,,I,Calibration,B,Not correctly calibrated,N,,N,,Y
436d0f8c,N,,RC,,S,"heli, single, coax copters",N,,B,,N,,N,,N
0e7f1204,N,,N/A,,S & D,,I,,B,,N,,N,,N
3eeff938,N,,N/A,,N/A,,R,,B,,N,,N,,N
10b89db4,N,,N/A,,N/A,,R,,B,,N,,N,,N
c5d17a9d,N,,N/A,,N/A,,R,,B,,N,,N,,N
af97a397,Y,,GCS | RC,,S,quadplane,N,,B,"This fixes a bug in which, during a mode transition, the vehicle would not have the proper altitude variable and would drop in altitude.",N,,N,,N
304c9b6e,N,,Mission & RC,,N/A,,N,,B,,N,,N,,Y
3410db50,N,,N/A,,N/A,,N,,B,,N,,N,,Y
